,title,studios,type,genres,ratio_rank,completed_count,start_date,anime_id
12970,Grancrest Senki: Tsuisou,A-1 Pictures,Special,Action|Fantasy,4721.0,6633,2018,37505
12971,Kamisama no Inai Nichiyoubi: Kioku,Madhouse,Special,Fantasy|Mystery,3100.0,20680,2014,20423
12972,Love Live! School Idol Project: μ's →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,Sunrise,Special,Comedy,5242.0,6333,2014,25897
12973,Anitore! EX: Jigoku no Training,Rising Force,Special,Sports,8960.0,1462,2016,32886
12974,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,Toei Animation,Special,Adventure|Comedy|Fantasy|Historical|Shounen,2636.0,22993,2005,2020
12975,Kanon Kazahana,Toei Animation,Special,Drama|Romance|Slice of Life|Supernatural,4563.0,8260,2003,704
12976,Hetalia: The Beautiful World Specials,Studio Deen,Special,Comedy|Historical|Parody,3358.0,11531,2013,17273
12977,Jaku-Chara Tomozaki-kun Specials,Project No.9,Special,Drama|Romance|School,2958.0,20947,2021,45604
12978,Durarara!!x2 Ketsu: Dufufufu!!,Shuka,Special,Action|Mystery|Supernatural,1593.0,32060,2016,32915
12979,Mangaka-san to Assistant-san to The Animation Specials,Zexcs,Special,Comedy|Slice of Life|Ecchi|Harem|Seinen,2055.0,35887,2014,24475
12980,Neppuu Kairiku Bushi Road,Kinema Citrus|Orange,Special,Action|Fantasy|Sci-Fi|Mecha,2778.0,23990,2013,19653
12981,Beelzebub: Hirotta Akachan wa Daimaou!?,Studio Pierrot|Pierrot Plus,Special,Action|Comedy|Supernatural|Demons|School|Shounen,2324.0,26036,2010,9120
12982,Dorohedoro: Ma no Omake,MAPPA,Special,Action|Comedy|Fantasy|Horror|Seinen,1798.0,29374,2020,41053
12983,Hibike! Euphonium: Suisougaku-bu no Nichijou,Kyoto Animation,Special,Comedy|Music|School,2828.0,19463,2015,31096
12984,Tekkon Kinkreet Pilot,,Special,Action|Adventure|Supernatural|Psychological,10432.0,1053,1999,32247
12985,Pokemon Crystal: Raikou Ikazuchi no Densetsu,OLM,Special,Action|Adventure|Comedy|Fantasy|Kids,3285.0,18631,2001,1525
